client_rank,round,timestamp,cpu_time,cpu_freq_mhz,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load
3,18,2025-07-25 14:54,300473.6563,2400,1682.251776,10660725,413376333,845,0.01
4,18,2025-07-25 14:54,300477.1563,2400,1679.167488,10660780,413376399,845,0.04
1,19,2025-07-25 14:56,301321.2969,2400,1756.729344,10703199,413474429,845,0.01
2,19,2025-07-25 14:57,301397.375,2400,1766.023168,10717850,413495174,845,0.01
3,19,2025-07-25 14:56,301319.9375,2400,1756.667904,10703199,413474429,845,0.01
4,19,2025-07-25 14:57,301398.25,2400,1755.291648,10717850,413495174,845,0.05
1,20,2025-07-25 14:58,302244.0469,2400,1835.945984,10747464,413630692,845,0.01
2,20,2025-07-25 14:58,302251.5313,2400,1835.54048,10748843,413635972,845,0.06
3,20,2025-07-25 14:58,302243.7969,2400,1836.183552,10747464,413630692,845,0.01
4,20,2025-07-25 14:58,302239.9219,2400,1809.5104,10747464,413630692,845,0.01
1,21,2025-07-25 15:00,303090.9063,2400,1804.98432,10815632,413882146,845,0.01
2,21,2025-07-25 15:00,303123.1094,2400,1810.395136,10817874,413889804,845,0
3,21,2025-07-25 15:00,303117.5938,2400,1808.982016,10817684,413888965,845,0
